product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,pageUrl,scrape_date,supplier
PARDUS WHITE ECLECTIC,PARDUS WHITE ECLECTIC,softgoods,Pillows,"
				<p>










</p><p>









</p><p>









</p><p></p>



This modern and contemporary white pillow shares the tenacity and pattern of one of the fiercest animals in the animal kingdom, the leopard. Like the Panthera Pardus, this product has the strength and a high ability to fit and adapt to any special environment, making it unique with its exclusive design.



<br><p></p><p></p>			",https://www.brabbu.com/resources/images/products/534/gallery/BN08_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/pardus-white/eclectic/,20/04/2023,brabbu
PARDUS ORANGE ECLECTIC,PARDUS ORANGE ECLECTIC,softgoods,Pillows,"
				<p>










</p><p>









</p><p>









</p><p></p>



This modern and contemporary orange pillow shares the tenacity and pattern of one of the fiercest animals in the animal kingdom, the leopard. Like the Panthera Pardus, this product has the strength and a high ability to fit and adapt to any special environment, making it unique with its exclusive design.



<br><p></p><p></p>			",https://www.brabbu.com/resources/images/products/532/gallery/N010_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/pardus-orange/eclectic/,20/04/2023,brabbu
PARDUS BROWN ECLECTIC,PARDUS BROWN ECLECTIC,softgoods,Pillows,"
				<p>










</p><p>









</p><p>









</p><p></p>



This modern and contemporary brown pillow shares the tenacity and pattern of one of the fiercest animals in the animal kingdom, the leopard. Like the Panthera Pardus, this product has the strength and a high ability to fit and adapt to any special environment, making it unique with its exclusive design.



<br><p></p><p></p>			",https://www.brabbu.com/resources/images/products/531/gallery/BN021_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/pardus-brown/eclectic/,20/04/2023,brabbu
WALLINGFORD YELLOW ECLECTIC,WALLINGFORD YELLOW ECLECTIC,softgoods,Pillows,"
				<p>





This yellow pillow adopts a modern design inspired by the most beautiful crystals in its brute stadium. Contrasting hard figures with the soft velvet fabric, this pillow is a modern and rare nature representation. This versatile and luxurious design allows a multiplicity of opportunities for decoration that will surely impress everyone.





<br></p>			",https://www.brabbu.com/resources/images/products/500/gallery/Y013_540x505.jpg,,,,,,,,,,,In Stock,https://www.brabbu.com/product/pillows/wallingford-yellow/eclectic/,20/04/2023,brabbu
WALLINGFORD BROWN ECLECTIC,WALLINGFORD BROWN ECLECTIC,softgoods,Pillows,"
				<p>





This brown pillow adopts a modern design inspired by the most beautiful crystals in its brute stadium. Contrasting hard figures with the soft velvet fabric, this pillow is a modern and rare nature representation. This versatile and luxurious design allows a multiplicity of opportunities for decoration that will surely impress everyone.




<br></p>			",https://www.brabbu.com/resources/images/products/503/gallery/BN018_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/wallingford-brown/eclectic/,20/04/2023,brabbu
WALLINGFORD BLACK ECLECTIC,WALLINGFORD BLACK ECLECTIC,softgoods,Pillows,"
				<p>





This black pillow adopts a modern design inspired by the most beautiful crystals in its brute stadium. This pillow is a modern and unique representation of nature, contrasting hard figures with the soft velvet fabric.This versatile and luxurious design allows a multiplicity of opportunities for decoration that will surely impress everyone.




<br></p>			",https://www.brabbu.com/resources/images/products/557/gallery/BW010_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/wallingford-black/eclectic/,20/04/2023,brabbu
WALLINGFORD BLUE ECLECTIC,WALLINGFORD BLUE ECLECTIC,softgoods,Pillows,"
				<p>





This blue pillow adopts a modern design inspired by the most beautiful crystals in its brute stadium. Contrasting hard figures with the soft velvet fabric, this pillow is a modern and rare nature representation. This versatile and luxurious design allows a multiplicity of opportunities for decoration that will surely impress everyone.





<br></p>			",https://www.brabbu.com/resources/images/products/506/gallery/A09_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/wallingford-blue/eclectic/,20/04/2023,brabbu
AUTUMNUS ESSENTIAL,AUTUMNUS ESSENTIAL,softgoods,Pillows,"
				<p>









</p><p>



This pillow was inspired by the Autumn Season. For the season, this design embodies a sensible and subtle sensation of peace and wonder. It is cosy and will certainly add a comfortable feeling. It is a high-end, modern, and essential design item that fits every interior design style.



</p><p></p>			",https://www.brabbu.com/resources/images/products/478/gallery/N015_540x505.jpg,,,,,,,,,,,In Stock,https://www.brabbu.com/product/pillows/autumnus/essential/,20/04/2023,brabbu
FRIOR ESSENTIAL,FRIOR ESSENTIAL,softgoods,Pillows,"
				<p>









</p><p>



Iceland was ranked the most peaceful country, and that was the main inspiration for this item. Friör means peace in Icelandic and is inspired by all the peaceful natural ambience the country has to offer. These kind, gentle, and peaceful characteristics are embodied in this pillow design, which makes it the perfect addition to modern and elegant home decor.



</p><p></p>			",https://www.brabbu.com/resources/images/products/480/gallery/BN05_540x505.jpg,,,,,,,,,,,In Stock,https://www.brabbu.com/product/pillows/frior/essential/,20/04/2023,brabbu
HENNA ESSENTIAL,HENNA ESSENTIAL,softgoods,Pillows,"
				<p>









</p><p>









</p><p>



This unique and essential pillow design is inspired by the artistic art made with Henna. The ancient body art decoration called Henna relates to marriage or the celebration of victory. It is the most popular art form in India and the Middle East as a way to adorn the bride before marriage. These are the meanings and feelings embodied in the design and that will invade any living room. A sensation of love and a triumphant project of interior design.



</p><p></p><p></p>			",https://www.brabbu.com/resources/images/products/481/gallery/BW013_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/henna/essential/,20/04/2023,brabbu
PAIVA ESSENTIAL,PAIVA ESSENTIAL,softgoods,Pillows,"
				<p>









</p><p></p>



Inspired by the Midnight Sun natural phenomenon, which occurs in the summertime in Finland, this is an innovative pillow design that will fill your home decor with positive and endless joyful feelings. Paiva, which in finish means ""day"", is the representation of endless light and brightness that is incorporated into this pillow by BRABBU.



<br><p></p>			",https://www.brabbu.com/resources/images/products/486/gallery/N011_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/paiva/essential/,20/04/2023,brabbu
